rotation_id,vehicle_type_id,assignment
97638,82,0
97638,83,0
97638,84,1
97638,85,0
97638,86,0
97638,87,0
97638,88,0
97638,89,0
97638,90,0
97638,91,0
89194,82,0
89194,83,0
89194,84,1
89194,85,0
89194,86,0
89194,87,0
89194,88,0
89194,89,0
89194,90,0
89194,91,0
92023,82,0
92023,83,0
92023,84,1
92023,85,0
92023,86,0
92023,87,0
92023,88,0
92023,89,0
92023,90,0
92023,91,0
90534,82,0
90534,83,0
90534,84,1
90534,85,0
90534,86,0
90534,87,0
90534,88,0
90534,89,0
90534,90,0
90534,91,0
89073,82,0
89073,83,0
89073,84,1
89073,85,0
89073,86,0
89073,87,0
89073,88,0
89073,89,0
89073,90,0
89073,91,0
90457,82,0
90457,83,0
90457,84,1
90457,85,0
90457,86,0
90457,87,0
90457,88,0
90457,89,0
90457,90,0
90457,91,0
93068,82,0
93068,83,0
93068,84,1
93068,85,0
93068,86,0
93068,87,0
93068,88,0
93068,89,0
93068,90,0
93068,91,0
97212,82,0
97212,83,0
97212,84,1
97212,85,0
97212,86,0
97212,87,0
97212,88,0
97212,89,0
97212,90,0
97212,91,0
93393,82,0
93393,83,0
93393,84,1
93393,85,0
93393,86,0
93393,87,0
93393,88,0
93393,89,0
93393,90,0
93393,91,0
94642,82,0
94642,83,0
94642,84,1
94642,85,0
94642,86,0
94642,87,0
94642,88,0
94642,89,0
94642,90,0
94642,91,0
94803,82,0
94803,83,0
94803,84,1
94803,85,0
94803,86,0
94803,87,0
94803,88,0
94803,89,0
94803,90,0
94803,91,0
97944,82,0
97944,83,0
97944,84,1
97944,85,0
97944,86,0
97944,87,0
97944,88,0
97944,89,0
97944,90,0
97944,91,0
97877,82,0
97877,83,0
97877,84,1
97877,85,0
97877,86,0
97877,87,0
97877,88,0
97877,89,0
97877,90,0
97877,91,0
91482,82,0
91482,83,0
91482,84,1
91482,85,0
91482,86,0
91482,87,0
91482,88,0
91482,89,0
91482,90,0
91482,91,0
93794,82,0
93794,83,0
93794,84,1
93794,85,0
93794,86,0
93794,87,0
93794,88,0
93794,89,0
93794,90,0
93794,91,0
96054,82,0
96054,83,0
96054,84,1
96054,85,0
96054,86,0
96054,87,0
96054,88,0
96054,89,0
96054,90,0
96054,91,0
97536,82,0
97536,83,0
97536,84,1
97536,85,0
97536,86,0
97536,87,0
97536,88,0
97536,89,0
97536,90,0
97536,91,0
97728,82,0
97728,83,0
97728,84,1
97728,85,0
97728,86,0
97728,87,0
97728,88,0
97728,89,0
97728,90,0
97728,91,0
93786,82,0
93786,83,0
93786,84,1
93786,85,0
93786,86,0
93786,87,0
93786,88,0
93786,89,0
93786,90,0
93786,91,0
93800,82,0
93800,83,0
93800,84,1
93800,85,0
93800,86,0
93800,87,0
93800,88,0
93800,89,0
93800,90,0
93800,91,0
93390,82,0
93390,83,0
93390,84,1
93390,85,0
93390,86,0
93390,87,0
93390,88,0
93390,89,0
93390,90,0
93390,91,0
97726,82,0
97726,83,0
97726,84,1
97726,85,0
97726,86,0
97726,87,0
97726,88,0
97726,89,0
97726,90,0
97726,91,0
96920,82,0
96920,83,0
96920,84,1
96920,85,0
96920,86,0
96920,87,0
96920,88,0
96920,89,0
96920,90,0
96920,91,0
90298,82,0
90298,83,0
90298,84,1
90298,85,0
90298,86,0
90298,87,0
90298,88,0
90298,89,0
90298,90,0
90298,91,0
89754,82,0
89754,83,0
89754,84,1
89754,85,0
89754,86,0
89754,87,0
89754,88,0
89754,89,0
89754,90,0
89754,91,0
93576,82,0
93576,83,0
93576,84,1
93576,85,0
93576,86,0
93576,87,0
93576,88,0
93576,89,0
93576,90,0
93576,91,0
98615,82,0
98615,83,0
98615,84,1
98615,85,0
98615,86,0
98615,87,0
98615,88,0
98615,89,0
98615,90,0
98615,91,0
97916,82,0
97916,83,0
97916,84,1
97916,85,0
97916,86,0
97916,87,0
97916,88,0
97916,89,0
97916,90,0
97916,91,0
96571,82,0
96571,83,0
96571,84,1
96571,85,0
96571,86,0
96571,87,0
96571,88,0
96571,89,0
96571,90,0
96571,91,0
91548,82,0
91548,83,0
91548,84,1
91548,85,0
91548,86,0
91548,87,0
91548,88,0
91548,89,0
91548,90,0
91548,91,0
92484,82,0
92484,83,0
92484,84,1
92484,85,0
92484,86,0
92484,87,0
92484,88,0
92484,89,0
92484,90,0
92484,91,0
97546,82,0
97546,83,0
97546,84,1
97546,85,0
97546,86,0
97546,87,0
97546,88,0
97546,89,0
97546,90,0
97546,91,0
91839,82,0
91839,83,0
91839,84,1
91839,85,0
91839,86,0
91839,87,0
91839,88,0
91839,89,0
91839,90,0
91839,91,0
93335,82,0
93335,83,0
93335,84,1
93335,85,0
93335,86,0
93335,87,0
93335,88,0
93335,89,0
93335,90,0
93335,91,0
93289,82,0
93289,83,0
93289,84,1
93289,85,0
93289,86,0
93289,87,0
93289,88,0
93289,89,0
93289,90,0
93289,91,0
94804,82,0
94804,83,0
94804,84,1
94804,85,0
94804,86,0
94804,87,0
94804,88,0
94804,89,0
94804,90,0
94804,91,0
89459,82,0
89459,83,0
89459,84,1
89459,85,0
89459,86,0
89459,87,0
89459,88,0
89459,89,0
89459,90,0
89459,91,0
98524,82,0
98524,83,0
98524,84,1
98524,85,0
98524,86,0
